Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::~unique_ptr()
  0.00      0.00     0.00        1     0.00     0.00  std::_Tuple_impl<0ul, int (*)()>::_M_head(std::_Tuple_impl<0ul, int (*)()>&)
  0.00      0.00     0.00        1     0.00     0.00  std::_Tuple_impl<0ul, int (*)()>::_Tuple_impl(int (* const&)())
  0.00      0.00     0.00        1     0.00     0.00  std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_Tuple_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<std::thread::_State> >::_Tuple_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::__uniq_ptr_data<std::thread::_State, std::default_delete<std::thread::_State>, true, true>::__uniq_ptr_impl(std::thread::_State*)
  0.00      0.00     0.00        1     0.00     0.00  std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::__uniq_ptr_impl(std::thread::_State*)
  0.00      0.00     0.00        1     0.00     0.00  std::mutex::lock()
  0.00      0.00     0.00        1     0.00     0.00  std::mutex::unlock()
  0.00      0.00     0.00        1     0.00     0.00  std::tuple<int (*)()>::tuple<true, true>(int (* const&)())
  0.00      0.00     0.00        1     0.00     0.00  std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >::tuple<true, true>()
  0.00      0.00     0.00        1     0.00     0.00  std::thread::_State_impl<std::thread::_Invoker<std::tuple<int (*)()> > >::_State_impl<int (&)()>(int (&)())
  0.00      0.00     0.00        1     0.00     0.00  std::thread::_State_impl<std::thread::_Invoker<std::tuple<int (*)()> > >::~_State_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::thread::_State::_State()
  0.00      0.00     0.00        1     0.00     0.00  int std::thread::_Invoker<std::tuple<int (*)()> >::_M_invoke<0ul>(std::_Index_tuple<0ul>)
  0.00      0.00     0.00        1     0.00     0.00  std::thread::_Invoker<std::tuple<int (*)()> >::operator()()
  0.00      0.00     0.00        1     0.00     0.00  std::thread::thread<int (&)(), , void>(int (&)())
  0.00      0.00     0.00        1     0.00     0.00  std::thread::~thread()
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::_List_base<Authenticate, std::allocator<Authenticate> >::_List_impl::_List_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::_List_base<Authenticate, std::allocator<Authenticate> >::_List_impl::~_List_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::_List_base<Authenticate, std::allocator<Authenticate> >::_M_clear()
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::_List_base<Authenticate, std::allocator<Authenticate> >::_List_base()
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::_List_base<Authenticate, std::allocator<Authenticate> >::~_List_base()
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::_List_base<Citizen, std::allocator<Citizen> >::_List_impl::_List_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::_List_base<Citizen, std::allocator<Citizen> >::_List_impl::~_List_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::_List_base<Citizen, std::allocator<Citizen> >::_M_clear()
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::_List_base<Citizen, std::allocator<Citizen> >::_List_base()
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::_List_base<Citizen, std::allocator<Citizen> >::~_List_base()
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::list<Authenticate, std::allocator<Authenticate> >::begin()
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::list<Authenticate, std::allocator<Authenticate> >::list()
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::list<Citizen, std::allocator<Citizen> >::list()
  0.00      0.00     0.00        1     0.00     0.00  int (*&std::__get_helper<0ul, int (*)()>(std::_Tuple_impl<0ul, int (*)()>&))()
  0.00      0.00     0.00        1     0.00     0.00  int std::__invoke_impl<int, int (*)()>(std::__invoke_other, int (*&&)())
  0.00      0.00     0.00        1     0.00     0.00  std::tuple_element<0ul, std::tuple<int (*)()> >::type&& std::get<0ul, int (*)()>(std::tuple<int (*)()>&&)
  0.00      0.00     0.00        1     0.00     0.00  std::remove_reference<std::tuple<int (*)()>&>::type&& std::move<std::tuple<int (*)()>&>(std::tuple<int (*)()>&)
  0.00      0.00     0.00        1     0.00     0.00  std::__invoke_result<int (*)()>::type std::__invoke<int (*)()>(int (*&&)())
  0.00      0.00     0.00        1     0.00     0.00  std::operator==(std::thread::id, std::thread::id)
  0.00      0.00     0.00        1     0.00     0.00  std::operator!=(std::_List_iterator<Authenticate> const&, std::_List_iterator<Authenticate> const&)

			Call graph


granularity: each sample hit covers 4 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00     602/602         void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag) [10]
[8]      0.0    0.00    0.00     602         bool __gnu_cxx::__is_null_pointer<char const>(char const*) [8]
-----------------------------------------------
                0.00    0.00     602/602         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [11]
[9]      0.0    0.00    0.00     602         std::char_traits<char>::length(char const*) [9]
-----------------------------------------------
                0.00    0.00     602/602         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [11]
[10]     0.0    0.00    0.00     602         void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag) [10]
                0.00    0.00     602/602         bool __gnu_cxx::__is_null_pointer<char const>(char const*) [8]
                0.00    0.00     602/602         std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*) [14]
-----------------------------------------------
                0.00    0.00       1/602         Zone_1_Citizen_Register() [125]
                0.00    0.00       1/602         Citizen_Data_Modify() [122]
                0.00    0.00       1/602         Data_Maintainance() [121]
                0.00    0.00       1/602         Dynaland_Zone_Wise_Registration() [127]
                0.00    0.00       1/602         Dynaland_Central_Representative() [126]
                0.00    0.00       1/602         login_page() [112]
                0.00    0.00       1/602         main [6]
                0.00    0.00     595/602         file_to_list() [114]
[11]     0.0    0.00    0.00     602         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [11]
                0.00    0.00     602/602         std::char_traits<char>::length(char const*) [9]
                0.00    0.00     602/602         void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag) [10]
-----------------------------------------------
                0.00    0.00     602/602         std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*) [14]
[12]     0.0    0.00    0.00     602         std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag) [12]
-----------------------------------------------
                0.00    0.00     602/602         std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*) [14]
[13]     0.0    0.00    0.00     602         std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&) [13]
-----------------------------------------------
